Removed Pin From Net: NetName=5V Pin=R300-1
Removed Pin From Net: NetName=5V Pin=R400-1
Removed Pin From Net: NetName=RESET Pin=R400-2
Removed Member From Class: ClassName=Power Member=R300
Removed Member From Class: ClassName=ATMEGA328P Member=R400
Change Component Footprint: Designator=C300 Old Footprint=CAPMP7343X430N New Footprint=CAPC1005X55N
Change Component Footprint: Designator=D301 Old Footprint=FP-6_541-5056_01-4-MFG New Footprint=LEDM2012X120N
Change Component Footprint: Designator=D300 Old Footprint=FP-95400-MFG New Footprint=FP-96547-MFG
Change Component Comment : Designator=C301 Old Comment=0.1uF New Comment=4.7uF
Change Component Comment : Designator=C300 Old Comment=47uF New Comment=0.1uF
Change Component Comment : Designator=PB? Old Comment=SMD_157SW New Comment=
Change Component Comment : Designator=D300 Old Comment=SS14-E3/61T New Comment=SS2P4-M3/84A
Change Component Comment : Designator=D301 Old Comment=TLMP1100-GS08 New Comment=KPT-2012SGC
Change Managed Component Library Link : Designator=D300 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=7D10CD85-780E-4E27-834C-035862268BCD New ItemGUID=6090458D-E605-4246-AE0D-39D1B919B286 Old RevisionGUID=8B5CAD06-C29B-45AA-8766-FBBD3BC1DB86 New RevisionGUID=B794EBA7-C86E-4A74-929B-2DDEE2753663
Change Managed Component Library Link : Designator=D301 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=D6419458-32D2-4DD9-A6ED-612CF4AE2E26 New ItemGUID= Old RevisionGUID=EF1C8B2D-7139-4FE1-8A27-103D6C6C2FFF New RevisionGUID=
Change component parameters: Designator = "C300" ("C300"); Footprint = "CAPMP7343X430N"; UniqueID = "\OLJEHXNC" ("\OLJEHXNC")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier Part Details"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/products/en?keywords=C0603C104K5RECAUTO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created By"; Value = "randy"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Created_Date"; Value = "2024-03-31 22:55:42"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ID"; Value = "30041"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Description"; Value = "CAP CER 0.1uF ±10% 50V X7R 0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C104K5RECAUTO"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package_Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Status"; Value = "New"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part_Type"; Value = "Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.063in L x 0.031in W (1.60mm x 0.80mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sorted_Value"; Value = "1E-7"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sub_Type"; Value = "CER"; VariantName = "[No Variations]"
